"hypervisorId__hypervisorId","name","guestIds__guestId","guestIds__state","guestIds__attributes__active","guestIds__attributes__virtWhoType","facts__hypervisor.type","facts__dmi.system.uuid","facts__cpu.cpu_socket(s)","facts__hypervisor.cluster","facts__hypervisor.version"
"astron-5.example.com","astron-5.example.com","05d20042-a1fa-c588-a150-d72cb3973e72","1","1","esx","VMware ESXi","4c4c4544-0050-4c10-8033-c7c04f463133","2","sysmgmt","6.7.0"
"","","0f5c0042-a132-497d-8acb-428133209ebb","1","1","esx","","","","",""
"","","182d0042-4719-26d8-c31b-8cb90cc7946a","5","0","esx","","","","",""
"","","22b80042-4992-242f-b067-7292127faefc","1","1","esx","","","","",""
"","","25160042-4139-2125-fec7-cc6b65ad5f6b","1","1","esx","","","","",""
"","","2ceb0042-e75e-7c51-f14d-4dee78dfc172","1","1","esx","","","","",""
"","","367e0042-bd56-b27a-f638-bbde846f56d8","5","0","esx","","","","",""
"","","379a0042-51f1-b07b-7f81-05c58c8add67","1","1","esx","","","","",""
"","","384a0042-1749-4a9f-0ddb-3312542437c4","1","1","esx","","","","",""
"","","400f0042-6e00-6e7f-1339-f113c20964e4","1","1","esx","","","","",""
"","","493b0042-63cb-e36e-9c2a-431b18587a90","1","1","esx","","","","",""
"","","57100042-8ff7-af35-4375-e077f9b87532","5","0","esx","","","","",""
"","","5abe0042-298c-76f0-017e-f3889d68b489","5","0","esx","","","","",""
"","","61390042-e64d-a99b-2826-76607003e1d4","1","1","esx","","","","",""
"","","69340042-44fd-b1aa-a73a-abecc93b9ac5","1","1","esx","","","","",""
"","","6e310042-1164-3049-506c-fe2c70900d60","1","1","esx","","","","",""
"","","92120042-93cf-c722-5179-e246ac040130","5","0","esx","","","","",""
"","","98560042-0e15-6d9b-18d5-67eed1fa63d3","5","0","esx","","","","",""
"","","afc90042-39a4-e890-78b4-e8bf51f73d8e","1","1","esx","","","","",""
"","","b1f70042-0add-ad79-fd4b-3ee63aafa3a3","1","1","esx","","","","",""
"","","c4350042-5f78-044f-bc23-4c856192eeab","1","1","esx","","","","",""
"","","cb930042-83c2-2e0f-6fec-8ec07a046ace","1","1","esx","","","","",""
"","","de6f0042-0524-e18b-a8d0-4081433f4e23","1","1","esx","","","","",""
"","","e43a0042-04db-21d1-f070-1917f8cf9cd5","1","1","esx","","","","",""
"","","e5b70042-a054-e74d-339e-f437c1552a16","1","1","esx","","","","",""
"","","e6d00042-d691-6e2f-fc15-312a4e739e6b","1","1","esx","","","","",""
"","","efa50042-370c-92f3-ddb9-517e05af2133","1","1","esx","","","","",""
"","","f29c0042-f1b1-092b-c7c0-ba59e270d3cf","1","1","esx","","","","",""
"","","f8130042-e849-0983-d79b-85255bf61fbc","1","1","esx","","","","",""
"","","fe230042-71bf-c07f-6e1b-e97f8189df6f","1","1","esx","","","","",""
"astron-7.example.com","astron-7.example.com","0dbf0042-478b-040c-0711-8e6e0daacb78","1","1","esx","VMware ESXi","4c4c4544-0046-3910-8037-b1c04f523133","2","sysmgmt","6.7.0"
"","","1c860042-6ef5-ad3b-d81f-9346b22bba6a","1","1","esx","","","","",""
"","","21af0042-cf2b-260a-c46d-f0e7a8ee51ff","1","1","esx","","","","",""
"","","28b00042-562e-0b17-1aab-2eaf7e00238c","1","1","esx","","","","",""
"","","2dba0042-9792-ffec-50db-bf8d729b20ac","1","1","esx","","","","",""
"","","2e1b0042-6ab2-19c0-fe03-482a6d38496f","1","1","esx","","","","",""
"","","51770042-0063-18a1-1e6d-6238c867bd9c","1","1","esx","","","","",""
"","","59a70042-8ea2-de91-4c6c-4400ad983167","5","0","esx","","","","",""
"","","5eaf0042-de7f-3879-f8e6-63f10ce04890","5","0","esx","","","","",""
"","","63360042-2378-5af7-4093-5a38153e0e46","1","1","esx","","","","",""
"","","7ace0042-b4e8-331d-9065-c737b854615a","1","1","esx","","","","",""
"","","7b610042-6bae-2fd1-792f-1452f74b62b8","1","1","esx","","","","",""
"","","80b80042-ce99-424a-4f0d-487e6f61ab4a","1","1","esx","","","","",""
"","","81800042-e06d-3dc0-540c-a1c273edc1fb","5","0","esx","","","","",""
"","","81ac0042-3905-a81c-4441-5518719be322","1","1","esx","","","","",""
"","","8c2d0042-25d9-4bd8-df9f-40047d80fe40","1","1","esx","","","","",""
"","","97924d56-112c-4173-5c59-6ec416026cdb","1","1","esx","","","","",""
"","","97ba0042-2040-5eaa-3cb9-4a8c041c486d","5","0","esx","","","","",""
"","","9c8d0042-888f-a53e-d8cd-addcc7bbdee2","1","1","esx","","","","",""
"","","aa6e0042-7a5b-b24f-8512-2670ef4ed1bb","1","1","esx","","","","",""
"","","b07b0042-74f5-8502-5a7c-4c0071a81bd6","5","0","esx","","","","",""
"","","c4d60042-2c27-70a2-c7bf-35f658de194f","1","1","esx","","","","",""
"","","c7390042-b943-3546-72b2-72fb4817fd11","1","1","esx","","","","",""
"","","ccfd0042-a433-8954-f79c-c7fe6afd9cfc","5","0","esx","","","","",""
"","","e7e70042-bbc7-b097-29a9-2f5c87e2b3ad","1","1","esx","","","","",""
"","","f7d70042-2979-a49d-0942-9990677de3e2","1","1","esx","","","","",""
"","","f8640042-2e3d-4a41-0087-e8efcdca75ad","1","1","esx","","","","",""
"astron-3.example.com","astron-3.example.com","06160042-5c4a-e877-72b9-061c6d31c56f","1","1","esx","VMware ESXi","4c4c4544-0035-5610-8036-b7c04f513033","2","sysmgmt","6.7.0"
"","","0b630042-5323-2bb6-8ae9-ae4d4e426c0a","5","0","esx","","","","",""
"","","0bfa0042-7015-e655-2d91-2704ea6032ea","5","0","esx","","","","",""
"","","13770042-d9b4-4f61-8b2a-9d6cdc265f3d","5","0","esx","","","","",""
"","","19400042-912f-f29c-1060-847ed6213f97","1","1","esx","","","","",""
"","","24380042-5f5d-9b00-6208-484cf36e71b6","1","1","esx","","","","",""
"","","27040042-fd05-61e9-8548-67ec288a2094","5","0","esx","","","","",""
"","","2c670042-024b-cb5e-1e0b-fcf79d7c9a46","1","1","esx","","","","",""
"","","3c240042-5368-d6d4-a648-59e2eb49c5c0","1","1","esx","","","","",""
"","","47340042-4f16-55b7-55c1-589840b0826e","5","0","esx","","","","",""
"","","51a20042-2a4d-1fc9-4bc1-47e5eed8b0e2","5","0","esx","","","","",""
"","","54410042-a8e9-c632-e12b-f70d96aeb1e1","1","1","esx","","","","",""
"","","6d030042-bdb4-432f-5921-3ac7ff4696a4","1","1","esx","","","","",""
"","","7a040042-571d-6f0c-2f80-cd79606fee53","1","1","esx","","","","",""
"","","7d420042-fbc7-e4a1-a29d-be9fc4a15419","1","1","esx","","","","",""
"","","7e760042-138d-f99f-e8f2-93af954f6ce7","1","1","esx","","","","",""
"","","86740042-f762-266d-3e75-1f1afdf65157","1","1","esx","","","","",""
"","","86d00042-8527-406e-c0c4-02750f2a38be","1","1","esx","","","","",""
"","","94270042-1119-df8d-ac65-fe83b01f1680","5","0","esx","","","","",""
"","","9e000042-0e40-e713-c17d-5f7d3ad61c74","5","0","esx","","","","",""
"","","a4010042-0f78-78c0-ce5a-3e6132230335","1","1","esx","","","","",""
"","","af640042-6d91-f656-e5b3-4d1115e8ae07","1","1","esx","","","","",""
